address,description,id,neighborhood,price,title,toWork,url
No Address,"I have a room available in an amazing duplex apartment in Crown Heights. You would be signing a new lease with a group of roommates for the year. Here are some details: - New Renovation  - Hardwood Floors - New Appliances - DISHWASHER! - Huge Bedrooms - Quiet, Family-Friendly Neighborhood - Tree-Lined Street - Large Space in the Basement  Available NOW  ADDRESS: 1329 Pacific Street, Brooklyn, NY 11216  FINANCIAL: Credit Check (680+) and Proof-of-Income (36x Monthly Rent) Required.  Guarantors Welcome!  CONTACT: Me! Text John at show contact info -- Mention ""1329 Pacific"" ---------------------------- ROOMMATE DETAILS: - Looking for someone clean and respectful of common spaces. Laid back and easy to get along with who's excited to create a new living space with a new group of people.",5266702394,Crown Heights,800,Brand New Renovation in Crown Heights,,https://newyork.craigslist.org/brk/roo/5266702394.html
662 jamaica ave,"Looking for someone who is CLEAN to share a large 4 bedroom apartment with 2 other people. I am a young professional male in my mid 20s and work a 9-5 job in the Financial district. I am up by 6:00AM every day and return around 6:00PM. My parents got divorced a couple years ago, and my mother has been living with me ever since. She works 7 days a week and is gone most of the day.   There is an empty room with no window that I am currently using as storage. It has a large walk in closet, and is big enough to fit a queen sized bed (included). It also has a small flat screen TV. This room is about 11x13 feet.  The other room is smaller (twin size bed), and has a large window facing the front of the street. This room is currently occupied but my roommate is leaving at the beginning of October. This room comes with a mini fridge, dresser, and twin sized bed. It is about 8x11 feet.  You would choose either of these 2 rooms for $600 per month. We would split the utilities (wifi, electricity, gas). I will later either rent out the remaining room, or use it as an office.  This is a very boring and drama free apartment . We do not throw parties, and the neighborhood is very quiet.   I am looking for somebody who is CLEAN(I cannot emphasize this enough) and who either works full time or goes to school full time.  To move in you must have 1st month's rent, and a $400 security deposit, at least 2 references from people you lived with before, proof of income and willingness to submit to a credit and background check.   If the ad is up the place is available.  If interested, send an email with a brief description of yourself.  Good luck.",5230995298,Jamaica Avenue,600,"Clean roommate wanted, long term",,https://newyork.craigslist.org/brk/roo/5230995298.html
Taaffe Pl at Dekalb Ave.,"***1 Year lease* 680+ Credit Score with Verified Income*NOV1***  Private room opens in brand new 5BR/1.5BA apartment, a few blocks from Classon G, steps to park, supermarket, cafes, bars, restaurants and many of cool hang out spots!  Room comes unfurnished, fits full/queen size bed, has a window and closet. The apartment has huge living space, kitchen appliances, 1.5 bathroom, central heat and laundry in basement unit. Roof and yard access!!!!  All utilities are not included but it will be around $50 per person per month.  *Must be able to sign on 1 year lease, have GOOD credit with proof of income. Guarantor is accepted* *Just first month rent and one month security to move-in IF you meet all the requirements*  *****Text show contact info Please mention Taaffe APT for the viewing*****  Looking forward to hearing from you soon and happy room hunting :)",5259417082,Clinton Hill@Classon G,790,Room near Pratt! Roof/Yard+Laundry in UNIT | NOV1,,https://newyork.craigslist.org/brk/roo/5259417082.html
No Address,"show contact info  Please text me for more info or to schedule. Thank you   Great sunny room in this brand new 5 bedroom 2 full bath apt.  In trendy bed stuy. Madison str between Stuyvesant ave & Malcolm X blvd.  Walk away from either Gates J train or Utica AC trains Amazing area with new bars, shops and restaurants. Famous ""peaches"" restaurant close by.  Brand new building with laundry roof deck backyard  Available Immediately.   Guarantors welcome.  GOOD credit and income is REQUIRED. 1 year lease / you can sublet your room if you need to leave before the year.   Apt includes new hardwood floors. Exposed brick. Tons of sunlight. Central air. Tall ceilings.  Beautiful Original wood work detail. Great closet space. 2 FULL marble baths. New kitchen with stainless steel appliances. Granite countertops. Dishwasher.  Video Security system intercom. Air conditioners installed in every room.  Great color scheme, Navy walls w white detail and exposed brick walls.  There are several different rooms available in the building ranging $750-850",5234901337,Trendy bed-stuy. Madison & Stuyvesant ave,750,**** STUNNING ROOM /Great NEW renovation* 2bath-laundry-yard-roof,,https://newyork.craigslist.org/brk/roo/5234901337.html
8415 4th Ave,"Looking for a roommate! Big light room in 2 bdr apt. 730$. Nice location. Cable, Internet.",5266684409,85street and 4th ave,730,Big Room!! Bay ridge 86st. 730$$,,https://newyork.craigslist.org/brk/roo/5266684409.html
3115 Brighton 6th,"-10 minutes walk to Manhattan Beach, Brighton Beach - 10 mins walk to New York Aquarium - Cyclone , Luna Park , Shopping malls, stores are all walk able distance within 7 mins  - Famous resturants , cafes are all around the block - 3 mins walk to B and Q Sheepshead Bay station -No smoking whatsoever in the apartment. Any roommate needs to be mature, -clean & neat, respectful of neighbors who are mostly families with younger children. -Room is available. -Ample closet space in bedroom -Shared bathroom is a full bathroom with shower/bath. -Located in a nice, residential neighborhood - mostly families. -Parking is on street but there are always spaces available. -Cafes/restaurants/grocery stores in walking distance, 2 blocks or less.v -Kitchen appliances furnished. Bedroom is not furnished. -Wireless Internet available free of charge. Best way to reach me via Text message please ask for Vlademir in text message cell  show contact info  Showing every day between 6pm to7pm  open house everyday  everything is included in the rent. utilities are included(gas,electricity,water and internet ). . 1 month security deposit required to secure the room.1st month's rent due on move-in.   The Terms: - NO Smoking, NO Drugs. - Full Privacy in your room. - you will share the bathroom and kitchen - You get access to kitchen, appliances, cabinets and fridge.  - This is a clean apartment  To move in: - First month $600 monthly rent, and security deposit - Water, gas and heat, internet are included - Super fast Internet included also  - No pets allowed, as much as I love them, sorry!!",5266667877,Brighton Beach,600,no window - all utilities included - furnished - free wifi,,https://newyork.craigslist.org/brk/roo/5266667877.html
66 Washington Avenue,"A condo loft with ""open"" layout near Steiner Studios and the Brooklyn Navy Yard to share. It is on the third floor; there is no elevator.  There are two large open rooms to share with a total of 11 windows, 14' ceiling, 2 HVAC units (heat & AC), a new kitchen with granite counter-tops and gas range, 50 MB WiFi, clothes washer/dryer, etc.  The main room contains a kitchen, dining area, and an office.  The second room (on a corner with 7 windows, see attached pictures) has a TV (no cable but great reception), a living room area with 9'x7' L-shaped sofa. There's a double bed in the corner where I sleep, and the sofa opens into a double bed for you. I'm only in this room to sleep (and to watch Jets and Giants) and I get up very early. There's a door so it would be pretty private for you. But please understand: THERE IS NO SEPARATE/PRIVATE BEDROOM. (And I'll still get people asking where the bedroom is.)  I own the building and I am flexible on rent. Every situation is different, factors include are you a student or professional person with a solid income; will you be using the loft as a live/work space; etc. Money is not the deciding factor but it is not irrelevant since I hope to visit Paris for a month in the Fall and it would give me extra spending money. The market value of the loft is $4,500/month; the range I'm asking for the share is between $1,000/month to $400/month. That includes everything.  I'm not desperate for a room-mate, and the situation is not right for everybody. Please do not waste my time or yours if the concept is not comfortable for you. Two recent shares were pleasant experiences, so I figure I'll try again.  I'm a guy who's worked a wide variety of jobs, including teaching at the Police university in Beijing, where I also owned a restaurant. I still occasionally work in films in China. I can be outgoing or quiet depending on the circumstances; am quite comfortable keeping to myself.  No bringing the party home: i.e., no guests, for me or for you.   The space is available for share for as short a time as a week or indefinitely.  AVAILABLE NOW. For just one person, no couples.",5266680766,Clinton Hill-Fort Greene,400,"SHARE ""open"" CONDO LOFT near STEINER STUDIOS",,https://newyork.craigslist.org/brk/roo/5266680766.html
2751 Cropsey ave,"- No window room, clean nice new apartment - 15 mins walk to big shopping mall (Ceasar's Bay) where there is Bestbuy, Target, BJs, Toy's R us etc .. - 4 min walk to D Bay-50th Station - 10 mins walk to Adventurer's Amusement Park - 5 mins to Great beautiful park Calvert Vaux - Beltpark way exit 6th N - There is always parking on the street very convinient location to find parking - Train is very close to works 24 hours - 15 mins walk to Brighton Beach -25 minutes walk to Manhattan Beach, Brighton Beach -25 mins walk to New York Aquarium - It is available to move in ASAP - Cyclone , Luna Park , Shopping malls, stores are all walk able distance within 7 mins  - Famous restaurants , cafes are all around the block -No smoking whatsoever in the apartment. Any roommate needs to be mature, -clean & neat, respectful of neighbors who are mostly families with younger children. -Room is available. Best way to reach me via Text message please ask for Sayeed in text message cell show contact info  Showing everyday open house everyday  -Ample closet space in bedroom -Shared bathroom is a full bathroom with shower/bath. -Located in a nice, residential neighborhood - mostly families. -Parking is on street but there are always spaces available. -Cafes/restaurants/grocery stores in walking distance, 2 blocks or less. -Kitchen appliances furnished. Bedroom is not furnished. -Wireless Internet available free of charge. my cell show contact info  everything is included in the rent.  utilities are included(gas,electricity,water and internet ). . 1 month security deposit required to secure the room.1st month's rent due on move-in.   The Terms: - NO Smoking, NO Drugs. - Full Privacy in your room. - you will share the bathroom and kitchen - You get access to kitchen, appliances, cabinets and fridge.  - This is a clean apartment  To move in: - First month $550 monthly rent, and security deposit - Water, gas and heat, internet are included - Super fast Internet included also  - No pets allowed, as much as I love them, sorry!!",5266657735,Gravesend,550,no window - all utilities included - furnished - free wifi,,https://newyork.craigslist.org/brk/roo/5266657735.html
Kingston Avenue at Sterling Place,"Hi there roomies!  I need a few cool people to lease this apartment with! It is newly renovated and killer! 5 bedrooms, 2 full bathrooms!  There are rooms for $750 and $775 that will fit a full size bed. The closets are large! The big bertha rooms is $975, fits a queen size bed, desk & dresser and has the biggest closet and 2 windows (Room with skylight window for $725!! Shhhh! That's a steal!)  About me:  My name is Lizzy! I'm a young professional from North Carolina and moved here about a year ago with my cat, Elphie. I'm a pretty quiet, laid-back sort of person. My hobbies are Netflix, sleeping, and making cupcakes (yep, I love to share!). My cat's hobbies are sleeping, hiding under the bed, and getting fur on my black sweatshirts.  The neighborhood is GREAT! Under 5 minute walk to the subway (3 train @ Kingston Ave) Safe, quiet block with laundry and supermarket a block away. Lovely Brower Park 2 blocks away if you like to go running. :) Solid array of bars, cafes and restaurants around of course!  12 month lease 1st, last and security deposit good credit and income required no pets, no couples please (five humans and one cat is enough lol) Flexible asap move in (no later than November 1st)  Text JOSIE my Roomeze Matchmaker to set up a viewing. Mention me, Lizzy! show contact info   Can't wait to meet you! -Lizzy & Josie, Roomeze Matchmaker www.roomeze.com",5266664324,Crown Heights,750,CANCEL. YOUR. MEETINGS. You do not want to miss this!,,https://newyork.craigslist.org/brk/roo/5266664324.html
2126 62nd Street,"- Famous restaurants , cafes are all around the block - my famous pizzeria is Europa around the corner - 2 min walk to N train 20th ave station - 5 min walk to F train to ave N station  -No smoking whatsoever in the apartment. Any roommate needs to be mature,  - Bell language school is 5 mins walk - 22 mins to Barclay's Center  - 35 mins Union Square - Mc Donald's 4 blocks away - Set Low playground is 5 mins away - Gravesend park 5 mins away - There are 9 rooms in the apartment, 1 kitchen and 2 bathroom -clean & neat, respectful of neighbors who are mostly families with younger children. -Room is available. Best way to reach me via Text message please ask for Mark in text message cell show contact info  Showing everyday open house everyday  -Ample closet space in bedroom -Shared bathroom is a full bathroom with shower/bath. -Located in a nice, residential neighborhood - mostly families. -Parking is on street but there are always spaces available. -Cafes/restaurants/grocery stores in walking distance, 2 blocks or less. -Kitchen appliances furnished. Bedroom is not furnished. -Wireless Internet available free of charge. my cell(Mark) show contact info  everything is included in the rent.  utilities are included(gas,electricity,water and internet ). . 1 month security deposit required to secure the room.1st month's rent due on move-in.   The Terms: - NO Smoking, NO Drugs. - Full Privacy in your room. - you will share the bathroom and kitchen - You get access to kitchen, appliances, cabinets and fridge.  - This is a clean apartment  To move in: - First month $750 monthly rent, and security deposit - Water, gas and heat, internet are included - Super fast Internet included also  - No pets allowed, as much as I love them, sorry!!",5266651124,Mapleton,750,all utilities included - furnished - free wifi,,https://newyork.craigslist.org/brk/roo/5266651124.html
1249 Jefferson ave.,2 Rooms Open in a Freshly Renovated 5br 2.5 baths in Bushwick.  Wilson stop on the L train or Halsey stop on the J train. It's $800 per room.  Both Rooms have Closets and Windows and will fit King size Bed plus Extra Furniture.  The Living Room is Furnished. Cable and Wifi.  Central Air! High Ceilings and HardWood Floors!    1 Year Lease. Good Credit and Proof of Income.  Text Maria: show contact info,5266661855,Bushwick,800,Huge Rooms by L and J! Roof Access!,,https://newyork.craigslist.org/brk/roo/5266661855.html
2751 Cropsey ave,"- 5 mins walk to D train Bay 50th Station - 45 mins to Union Square - 37 mins to Downtown manhattan Times Square - located next to Beautiful Prospect Park (Gem of NYC :)) - Famous restaurants , cafes are all around the block -No smoking whatsoever in the apartment. Any roommate needs to be mature, -clean & neat, respectful of neighbors who are mostly families with younger children. -Room is available. -I will provide Ikea closet for the bedroom -Shared bathroom is a full bathroom with shower/bath. -Located in a nice, residential neighborhood - mostly families. -Parking is on street but there are always spaces available. -Cafes/restaurants/grocery stores in walking distance, 2 blocks or less. -Kitchen appliances furnished. Bedroom is not furnished. -Wireless Internet available free of charge. - a lot of famous cafes and restaurants within 5 mins walk - Laundry is across the apartment   everything(Internet, Hot water, electricity, gas, heat) is included in the rent. Best way to reach me via Text message please ask for Sayeed cell show contact info  Showing every day  open house everyday  utilities are included(gas,electricity,water and internet ). . 1 month security deposit required to secure the room.1st month's rent due on move-in.   The Terms: - NO Smoking, NO Drugs. - Full Privacy in your room. - you will share the bathroom and kitchen - You get access to kitchen, appliances, cabinets and fridge.  - This is a clean apartment To move in: - First month $750 monthly rent, and security deposit - Water, gas and heat, internet are included - Super fast Internet included also  - No pets allowed, as much as I love them, sorry!!",5266652016,Gravesend,750,all utilities included - furnished - free wifi,,https://newyork.craigslist.org/brk/roo/5266652016.html
No Address,"$200 Nice Room in Brooklyn ( 2 Blocks from 4 & 3 TRAINS)  IN A QUIET, SAFE & CLEAN RESIDENTIAL AREA: Near Eastern Parkway & Utica   This Private Room with a door Has 2 BIG Windows comes with Dresser and Bed.  Bedroom AVAILABLE FOR MOVE IN!!!!WEEKLY OR DAILY  NEED TO RENT QUICKLY SO DISCOUNTED TO $200 WEEKLY OR $50 DAILY:  A WEEK'S RENT AND $50 SECURITY DEPOSIT TO MOVE  The Apt is shared with 2 females.   Residential area, with convenient Stores, Laundromats, Pharmacy & Restaurants.  Serious Interest email. . ..  Looking for a Person Who is Mature, Can Afford Rent, Friendly, Extremely Busy, and Who Have Lived Well with Others Before.   IDEAL PERSON IS A BUSY PERSON * GOOD PEOPLE SKILLS * VERY CLEAN & NEAT AND DO NOT NEED USE OF MUCH KITCHEN. . ...",5266644719,2 BLOCKS FROM TRAIN,200,BROOKLYN $200 ROOM,,https://newyork.craigslist.org/brk/roo/5266644719.html
No Address,"If you're looking to get a room of your own look no further.  I have 2 spots available, just 2 blocks from the subway and only 25 minutes from Manhattan, in an luxury building that is BRAND new.  It is nestled on cute section of Bushwick ave. walk from the very convenient L TRAIN (3 min walk) and J train (2 min walk). You also have easy access to the M TRAIN which stops in the Union Square and continues into midtown  This Brand New Apartment Building was gut renovated last year, and is laid out with the following features....  +Stainless steel kitchen +24/7 Gym +2 BATHROOMS +easy access to roof space + A real common area (game room W/T.V) + young professional building   The rooms are great for a full size bed and another small piece of furniture + closet.  We are looking for a friendly roommate who generally keeps pretty busy. We accept young professionals, responsible students, and creatives. You should be laid back, neat, and respectful of space. The MGMT requires PROOF of income & GOOD CREDIT to move but they also accept GUARANTORS.  All people for October 15th & November 1st are welcome!  Send us a message to set up a viewing  NO FEE - 1 yr lease    R E A L P H O T O S (718)/7/1/7-91.8.9",5253348502,Bushwick/L train,775,Large room✓ Gym ✓ Roof ✓ Yard✓,,https://newyork.craigslist.org/brk/roo/5253348502.html
144 Spencer St.,"Hello people,   So we have an amazing room open for availability November 1st in Bedstuy, Brooklyn. We are preferably looking for a MALE roommate. Rent is $700 a month with a small utility bill. It's pretty large and you can modify it to your liking (painting the walls if you like, adding more lighting, etc). There are built in shelves into the walls so you wouldn't even need to bring furniture, but there is plenty of room if you have it. Theres also a loft space that can be used for some things of yours in the room as well. There is currently a Queen size bed in the room with plenty more room for a desk, a nightstand, or a clothes rack. This room has no windows but is still a steal because of the price and size.You would be in the largest bedroom which is right across from the bathroom. This is a large 3 bedroom loft apartment with 1 bathroom. There is an elevator and a freight elevator as well. The apartment is on the third floor. There is also a laundry room on every floor. There is a grocery store right below which is very clutch at times. Also, alot of great restaurants and some great watering holes down Myrtle Ave. We never have issues with any of our neighbors. In fact everyone in the building is awesome and nice. The nearest trains are the G - Bedford or G - Myrtle Willoughby.  So here is some info on who you will be living with.  We are all in our late twenties. One room is occupied by a couple (my boyfriend and I). The other room is occupied by another male who occasionally plays his acoustic guitar. The dudes are both bartenders and pretty much live on a nightlife schedule. I work in fashion and do alot of freelance work. Which means we are usually all home during the day and go out at night. But it varies from time to time. Other times we are all home cooking, drinking, playing video games. Also very 420 friendly. We do not mind if you do not participate but MUST be okay with it. Also you will be living with two fur roommates that go by the name of Rashad and Maggie, a young tuxedo kitten duo who are very loving and silly. They are very well behaved and love chatting with you.  We are not about ""checking in"" or telling you lights out at a certain time. We all come and go as we please. We are all (fun) adults who live our own lives and are just looking for someone who is on our same wave length when it comes to living. Just a clean, NICE, responsible person who will pay their bills on time. If this sounds like you reply and we can schedule a viewing.   Thanks! -Victoria",5266627752,Myrtle and Bedford Ave.,700,Awesome room available in Bedstuy with other fucking awesome roommates,,https://newyork.craigslist.org/brk/roo/5266627752.html
No Address,"1 week deposit to move in....but no deposit is possible if ur cool like that. Please no older than 25 26   125 / 150 & 175 weekly. .I have only considering person s looking to move immediately.  Im a male..I do not want a male as a roommate .   Please don't call me.   For female only. .  Company is fine   Smoking in your room is fine  Come or stay home as u need.   No couples tho..dat includes girl couples. .lol..just to be clear. A couple is a dubb im located in east flatbush Brooklyn on 2 3 4 5 A Train lines   Text because im not speaking with anyone unless they are stopping by after 530   Hi...ill be free tonight til 10tonight..if ur still considering rooms. Just let me know what time between 7 and 10tonight. ..also im free tomorrow..but it'll probably be the same time about. .thank   Im located in east flatbush 10 minutes from Utica Avenue Crown Heights   ALL Utilities included. .no extra cost .   Simply pay me 125$ or 150 per week. .or 250 & 300 bi weekly. .I can be flexible and work with you  im free today after 6. ..if time permits you. Feel free to call me or text me after6..thanks show contact info ..Text because im not speaking with anyone unless they are stopping by after 530..ill be free tonight til 10tonight..  ) AS LONG AS YOU PAY YOUR RENT RESPONSIBLY & ON TIME WHILE YOUR HERE  im free today after 6. .. show contact info   For female who can provide proof u are financially stable enough to pay the weekly rent with no hardships. .  No couples. ..company is fine no kids no 2 females in one room..single occupation only no animals no pets Female only. ....im a guy and I do not feel comfortable with men as roommates..  no alternative type of people. ..regular normal cool smo tolerant or friendly female who is social..id like to have a cool good vibe with my roommate s ...however we will all give each other privacy and space m  I have 2 very comfortable , spacious & furnished rooms.  Perfect for persons with no furniture. both rooms are furnished but if you have your own furniture I can remove my furniture out  125 / 150 but flexible  Both are pretty big with full size bed tv lamp night table mini fridge .nice clean all da basics....minus sheets   Text because im not speaking with anyone unless they are stopping by after 5 when im free   Im located in east flatbush 10 minutes from Utica Avenue Crown Heights train lines  ) AS LONG AS YOU PAY YOUR RENT RESPONSIBLY & ON TIME WHILE YOUR HERE  Hi just letting you know im free today after 6. ..if time permits you. Feel free to call me or text me after6..thanks show contact info . rooms. I ask 1week deposit plus first week. ..I can be negotiable tho. .but only considering person s looking to move immediately ... I'm going to be free anytime after 5 ....da latest 530..ill be home for the night until probably 830 or 9...fyi...im located in east flatbush Brooklyn.I'm on kings highway between avenue d and clarendon road ea",5263744050,No Address,120,1 week deposit to move in....but no deposit is possible if ur cool lik,,https://newyork.craigslist.org/brk/roo/5263744050.html
